District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
432,422653,403414,508834,1026,145258,1945,174235,67962,Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664
433,682851,657560,834591,1475,239885,2324,302287,81832,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
434,738241,716828,825880,1700,213825,3644,266716,107151,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
435,1016289,970575,1240990,2599,323379,7501,300765,188684,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
436,780520,732161,894612,1647,232735,1382,312611,73997,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885
437,805359,758356,925369,1899,270457,3518,274995,101014,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
438,1112725,1073068,1077338,2470,349639,2388,412348,103364,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
439,1699627,1577070,2309130,5783,593576,48691,200371,587947,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
441,699340,686541,549926,1336,181139,1158,250358,48912,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673
442,790212,755602,804245,1629,231130,1611,331894,69823,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116
443,769568,689307,862918,1583,181510,1926,292579,83830,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563
444,1236130,1134931,1660690,4298,452912,40788,118893,581826,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679
445,683743,627589,780362,1442,212138,1566,270427,59220,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085
446,700358,631239,820220,1460,194373,1141,251272,74441,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909
447,799236,776126,939769,1845,230974,2109,318945,87704,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117
448,294838,275627,352550,619,95066,986,112714,31845,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435
449,648725,592625,810644,1535,198076,2871,209650,105746,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929
450,662013,630029,790773,1476,172416,2179,276151,72880,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127
451,1277278,1186011,1756468,3776,452023,20443,272284,352477,Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981
453,351913,352611,378714,652,62372,554,218021,9774,Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911
454,525272,529633,604962,1043,143803,912,279674,37258,Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753
455,1064468,1026454,1294198,2513,344875,3588,413142,140802,Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254
456,695879,683252,864194,1369,228695,1182,335045,47542,Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111
457,842178,859520,1147623,1709,277927,1712,400074,70793,Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796
458,649362,592157,653980,1302,144248,2482,212765,72320,Madhya Pradesh,Guna,24.49043927178156,77.2235895968791
459,443837,401234,469109,861,84720,619,169606,37135,Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134
460,540021,526042,604194,1302,113184,1733,233594,57846,Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442
461,379114,370123,436595,787,81338,1290,147388,60325,Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007
462,575912,551121,600785,3019,102228,837,250953,25916,Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498
464,515023,510025,352081,1612,125411,744,211080,24713,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468
467,388504,369343,408679,989,112420,986,115979,62861,Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425
468,1096737,995634,1252319,4146,403294,9631,488293,250982,Gujarat,Kachchh,23.48057203301311,68.82192301497916
469,1610379,1510127,1704923,4242,396873,3424,666773,137424,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561
470,694397,649337,837913,2199,223424,2231,301483,102655,Gujarat,Patan,23.80634198473284,71.75162977099237
471,1056520,978544,1502645,3648,385609,7759,476005,183738,Gujarat,Mahesana,23.529355452865065,72.45545194085031
472,1244231,1184358,1578734,3934,438606,5262,544024,121509,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964
473,723864,667889,1030494,6016,262539,12107,237624,195634,Gujarat,Gandhinagar,23.193679790026252,72.67221679790026
474,3788051,3426174,5435760,18633,1456046,126341,353169,1845383,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227
475,909917,846351,1093626,3227,302068,2975,340788,159810,Gujarat,Surendranagar,22.82672007299272,71.48358740875906
476,1974445,1830113,2725056,8498,747352,21785,459474,721532,Gujarat,Rajkot,22.40603377715488,70.83679439383323
477,1114192,1045927,1396534,5028,386538,11573,347158,299167,Gujarat,Jamnagar,22.410600414263328,69.62062005768233
478,300209,285240,393678,1463,117040,1653,96015,87557,Gujarat,Porbandar,21.55092351651571,69.71896987722886
479,1404356,1338726,1842818,5549,498326,6628,489237,287506,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612
479,1404356,1338726,1842818,5549,498326,6628,489237,287506,Gujarat,Junagadh,20.929523011609785,70.54733890140345
480,771049,743141,995459,2825,273331,2538,313714,116899,Gujarat,Amreli,21.04832649310872,71.43457637825426
481,1490201,1390164,1887255,5434,500757,7297,387251,356826,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141
482,1087224,1005521,1551253,4372,378310,9902,413078,208909,Gujarat,Anand,22.282718206229863,72.57782051557454
483,1185727,1114158,1660243,4252,372226,5710,461479,160547,Gujarat,Kheda,22.88765312500002,73.018803515625
484,1226961,1163815,1440805,3981,398937,3456,463363,104238,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586
486,2153736,2011890,2893080,9753,798277,53606,547454,692971,Gujarat,Vadodara,22.26133739279589,73.49433010291594
487,301086,289211,370336,979,101940,576,138121,22248,Gujarat,Narmada,21.70666386292833,73.68403208722742
488,805707,745312,1118276,3242,309091,10257,300677,181319,Gujarat,Bharuch,21.75787276237761,72.67326346710801
489,113821,114470,140968,325,29794,137,52102,7516,Gujarat,The Dangs,20.801633877551023,73.6883518367347
490,678165,651507,1001909,3256,267679,6726,267739,141417,Gujarat,Navsari,20.866973318871995,72.86184869848157
491,887222,818456,1170657,3316,329218,11020,262410,235981,Gujarat,Valsad,20.44238231644259,72.9148584798345
492,3402224,2679098,4571410,16368,1252452,55694,369840,1529998,Gujarat,Surat,21.25761372772093,72.93488716344339
495,124659,66514,150348,34145,49249,1316,10006,61073,Daman and Diu,Daman,20.431616666666677,72.8392366071429
497,833170,815125,906509,2446,186202,2579,333440,71572,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429
498,1054031,996831,1293916,3583,315332,6065,382777,146013,Maharashtra,Dhule,21.274018690400517,74.58719071837263
499,2197365,2032552,2891882,7988,720791,14297,796223,373565,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695
500,1337560,1248698,1879874,4421,423036,4767,575405,152787,Maharashtra,Buldana,20.56680611183355,76.39017880364096
501,932334,881572,1411281,3948,314490,6163,308158,196077,Maharashtra,Akola,20.746310479041902,77.12122320359276
502,620302,576858,869917,1942,196022,1875,274925,55921,Maharashtra,Washim,20.282282394366213,77.25502394366208
503,1480768,1407677,2251875,6236,512492,9438,508921,272894,Maharashtra,Amravati,21.16520991810736,77.67583503184723
504,668385,632389,1019458,2754,266155,4313,268486,120218,Maharashtra,Wardha,20.80743024390242,78.57259105691062
505,2384975,2268595,3673808,14073,917626,57964,430844,877522,Maharashtra,Nagpur,21.196556862745105,79.02166176470584
506,605520,594814,899860,2237,227025,2932,283843,72575,Maharashtra,Bhandara,21.211792649727748,80.10950199637024
507,661554,660953,1004243,2183,239981,2866,319702,66813,Maharashtra,Gondiya,21.225008411214997,80.17522698598128
509,1123834,1080473,1578615,5085,418666,8239,451324,233331,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388
510,1419965,1352383,2022574,4937,446516,6094,629243,168889,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479
511,1730075,1631217,2189425,6214,488748,7548,591119,230563,Maharashtra,Nanded,19.209316983017,77.6829048951049
512,606294,571051,790743,1853,159114,1221,242456,41913,Maharashtra,Hingoli,19.59525302245251,77.09239412780653
513,942870,893216,1157814,3410,272486,3982,293480,133759,Maharashtra,Parbhani,19.31032425249168,76.70163338870431
514,1011473,947573,1195523,3363,288895,3791,404746,98084,Maharashtra,Jalna,19.984612534818933,75.98473607242339
516,3157186,2950001,4345366,13629,904710,45039,904661,764271,Maharashtra,Nashik,20.266912871287143,74.03824168316828
517,5865078,5195070,8227161,35118,2231800,256170,713994,2904157,Maharashtra,Thane,19.698767747440264,72.79882742564581
521,4924105,4505303,7171723,27223,1925019,235018,1165718,2056739,Maharashtra,Pune,18.51696171428573,74.12922881632647
523,1349106,1235943,1718507,4179,402052,5614,563114,135457,Maharashtra,Bid,18.952353340080982,75.69319706477731
524,1273140,1181056,1650672,4574,381722,6217,428616,157016,Maharashtra,Latur,18.348687268993856,76.75812607802874
525,861535,796041,1137810,2786,240042,3209,367158,77832,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809
526,2227852,2089904,2910676,8995,595560,15145,779929,376302,Maharashtra,Solapur,17.837357937584812,75.42394823609216
527,1510842,1492899,2225694,5649,562653,14093,774522,200949,Maharashtra,Satara,17.6737908974359,74.18052064102558
528,761121,853948,1199392,3484,367352,7752,538538,100824,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404
529,417332,432319,666067,1749,194228,3517,295847,44989,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343
530,1980658,1895343,2825845,8464,770005,22269,796496,382818,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648
531,1435728,1386415,2049467,5798,485126,13212,626872,226801,Maharashtra,Sangli,17.154930181086502,74.70713822937628
532,1369597,1371642,1483347,4181,566108,5512,597466,220248,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176
533,1250641,1300694,1389810,3458,545913,5261,565165,155133,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035
534,1880800,1895469,2206829,5251,926768,8831,877236,288044,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413
535,1523030,1510258,1637137,3874,604719,8635,593653,195479,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379
536,2018575,1924748,2892155,11071,869721,149034,0,1066289,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888
538,2050386,2002642,1940646,4695,757821,6153,848963,161052,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859
539,1759772,1729037,2001019,4468,789225,7715,833504,197433,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244
540,1759281,1753295,2065023,4762,828077,12952,758738,288249,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509
541,1390988,1406382,1630234,3836,668519,8628,669262,201363,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335
542,1341738,1361376,1495381,3301,615432,3988,752752,149684,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675
543,1161477,1182997,1238388,3103,527736,4453,592458,157056,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873
545,2569688,2584608,3288577,7211,1297273,22411,1199479,406362,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511
546,1964918,1972048,2652389,5485,1017568,12050,1007255,248373,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196
547,2267375,2250023,3009718,6983,1163932,30438,909292,567042,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413
548,2440521,2447292,2960441,6981,1186028,19383,1069877,513113,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885
549,1714764,1682684,1904435,4304,763746,6151,873486,214089,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184
552,2039227,2014236,2127161,5301,816721,10081,783853,306982,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717
553,2064495,2016653,2310960,5799,897970,8606,902997,341431,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577
554,2090204,2083860,2667878,5926,944555,13763,907970,395900,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037
555,2423063,2356598,3052032,7045,808827,17560,962777,356198,Karnataka,Belgaum,16.16107219152853,74.72329042357275
556,950111,939641,1113412,2890,301389,3745,324799,165858,Karnataka,Bagalkot,16.15860676328503,75.64526070853468
558,870665,832635,1042673,2448,271439,3971,287134,102269,Karnataka,Bidar,17.950361730769224,77.19459961538459
559,964511,964301,979769,2672,314547,5200,330446,125402,Karnataka,Raichur,16.050795353982295,76.87368606194688
560,699926,689994,809085,1889,223166,2135,272968,64681,Karnataka,Koppal,15.651253271028034,76.1617048598131
561,537147,527423,700177,1699,198064,3373,180066,111906,Karnataka,Gadag,15.507128256880746,75.64861302752298
562,937206,909817,1301664,3519,347962,15013,199707,283397,Karnataka,Dharwad,15.343831376975173,75.13831264108359
564,819128,778540,1085443,2240,295937,2456,315076,98488,Karnataka,Haveri,14.737582809224318,75.3961230607966
565,1236954,1215641,1421621,3886,440374,9626,371604,251876,Karnataka,Bellary,15.074377548209377,76.47228471074374
566,840843,818613,1087392,2374,307257,5711,349704,97644,Karnataka,Chitradurga,14.29102220394736,76.57821957236843
567,986400,959097,1308540,3062,372671,7320,354680,176011,Karnataka,Davanagere,14.330414586709884,75.91723841166937
568,877415,875338,1263016,3119,363835,8791,352444,201662,Karnataka,Shimoga,14.063845885634592,75.17882078103197
569,562131,615230,926429,2100,224814,9070,269817,115572,Karnataka,Udupi,13.450404228534568,74.72009990316337
570,566622,571339,818345,1996,238505,4510,311660,80766,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249
571,1350594,1328386,1813391,4067,562769,7971,685443,204799,Karnataka,Tumkur,13.592467760074973,77.02297966260545
573,905085,900684,1149649,2628,391033,3367,458867,103435,Karnataka,Mandya,12.574901806239744,76.81570098522172
574,883667,892754,1225256,2743,400702,4851,496103,132878,Karnataka,Hassan,12.945098749999998,76.11049549999997
576,274608,279911,412877,942,113931,3308,181182,31792,Karnataka,Kodagu,12.39684468085106,75.79336595744688
577,1511600,1489527,1962180,4995,640868,28397,540596,380386,Karnataka,Mysore,12.248100259403367,76.52881802853437
579,1301755,1264571,1427368,5378,404767,9752,400704,199303,Karnataka,Gulbarga,17.070459515951594,76.87503850385033
581,776396,760005,1016219,3389,309494,5051,326567,151042,Karnataka,Kolar,13.312799881235172,78.01376947743476
583,509172,481751,688749,1422,214253,3729,231052,95410,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169
585,416677,401331,663060,2078,173951,23440,115859,209230,Goa,North Goa,15.548723418714054,73.80667997909038
586,322463,318074,502427,1646,138810,17624,88620,162873,Goa,South Goa,15.195278658183785,73.941792596877
588,628613,678762,1037492,1988,237670,10378,251641,166164,Kerala,Kasaragod,12.33310309912974,75.07768497134369
589,1181446,1341557,2138434,4432,511167,32653,306288,566191,Kerala,Kannur,11.941523076923056,75.35209891725934
590,401684,415736,645585,1095,149864,4712,266183,11805,Kerala,Wayanad,11.715277464788736,76.07587007042254
591,1470942,1615351,2615443,4594,641660,36791,323793,666543,Kerala,Kozhikode,11.392924270557026,75.71158720159153
592,1960328,2152592,3311315,4838,730119,27909,634543,522586,Kerala,Malappuram,10.97329875666072,75.93910775606876
593,1359478,1450456,2239492,3929,587583,27162,665899,228442,Kerala,Palakkad,10.784926903553291,76.49980490693744
594,1480763,1640437,2678548,5612,721625,56148,336748,715119,Kerala,Thrissur,10.458932647907687,76.12321940836945
595,1619557,1662831,2855676,6274,771287,88737,369694,804997,Kerala,Ernakulam,10.004879301987431,76.26957729035381
596,552808,556166,923010,1374,244844,8250,391610,20823,Kerala,Idukki,9.80480963855423,77.04586641566264
597,968289,1006262,1749798,3071,464039,37849,481967,196194,Kerala,Kottayam,9.643701174068417,76.46059673302705
598,1013142,1114647,1852797,3368,507913,28842,331419,392117,Kerala,Alappuzha,9.542602965599087,76.38010796263319
600,1246968,1388407,2240273,3910,630767,31542,523715,401415,Kerala,Kollam,8.929388820570157,76.6360775852431
601,1581678,1719749,2785408,5770,783872,71621,559293,609824,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073
602,1876062,1852042,2791721,7731,909400,75634,387237,732196,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492
603,2335844,2310888,3776276,15742,1096334,217368,0,1314125,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806
604,2012958,1985294,3013382,8349,961161,100322,438799,774705,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913
605,1961688,1974643,2773928,8092,865913,20623,653499,486801,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084
606,1235889,1228986,1626813,4189,549077,6445,563102,147061,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953
608,1781571,1700485,2285562,8169,835377,20660,572813,597539,Tamil Nadu,Salem,11.629324202127655,78.2478257978723
609,869280,857321,1176131,3824,441044,8960,370357,257127,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633
610,1129868,1121876,1492662,7719,595211,18604,411286,432398,Tamil Nadu,Erode,11.267012155963302,77.42034334862392
612,1080938,1078837,1481834,4682,500057,9155,443818,269724,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937
613,528184,536309,727044,2151,264949,4915,212241,152420,Tamil Nadu,Karur,10.79532776617955,78.08749686847604
615,282157,283066,375823,979,135751,1507,155413,33179,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416
616,374703,380191,480604,1258,177502,1749,223955,30322,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912
617,1311697,1294217,1815281,5300,598412,15396,497429,260780,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497
618,798127,818323,1213008,3026,381940,5585,399016,118724,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483
619,626693,637584,946471,2272,303114,4416,321331,86848,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727
620,1182416,1223474,1790998,4914,555582,13495,479070,274302,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745
621,803188,815157,1110545,2812,354493,4494,399712,104229,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728
622,668672,670429,959744,2456,314270,5773,309224,143193,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255
623,1526475,1511777,2273430,6917,754141,34097,417718,592723,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332
624,625683,620216,870080,2642,312310,4667,189328,221295,Tamil Nadu,Theni,9.924066666666668,77.43458833333332
625,967709,974579,1398788,4300,505950,10219,363782,370942,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315
626,682658,670787,978946,2340,291400,5172,290478,126761,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462
629,926345,944029,1548738,4377,465692,15673,104253,493788,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538
630,774303,732540,917709,2364,337972,3651,396819,91107,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339
632,1729297,1728748,2635907,13938,896325,63273,284795,884957,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621
634,27301,28325,39274,10027,12859,207,0,15519,Puducherry,Yanam,16.707695652173904,82.26187304347832
636,19143,22673,36470,10027,7150,574,0,12110,Puducherry,Mahe,12.006420793787758,75.28275021570326
637,97809,102413,154916,4890,47880,1868,35618,33715,Puducherry,Karaikal,10.876161726078813,79.82369793621002
